"crop","group","compound","cas","conc.mean","conc.median","conc.max","n.studies","n.sil"
"corn","Acid","Acetic acid","64-19-7",18469.7440003636,18035.9871833112,60350.25,18,76758
"corn","Acid","Butyric acid","107-92-6",274.390748196956,244.948974278318,2745,7,12455
"corn","Acid","Isobutyric acid","79-31-2",477.642984872538,460,48100,5,12927
"corn","Acid","Isovaleric acid","503-74-2",7.65907330208968,9,18300,3,213
"corn","Acid","Propionic acid","79-09-4",2702.25931019954,489.897948556636,8371.04,12,15030
"corn","Alcohol","1-Butanol","71-36-3",8.51160649157015,5.04926703274484,117,2,6
"corn","Alcohol","1-Hexanol","111-27-3",10.1980390271856,10.1980390271856,13,1,2
"corn","Alcohol","1-Propanol","71-23-8",1121.63052076396,1342.13741467543,17460,12,437
"corn","Alcohol","2-Butanol","78-92-2",126.380696353224,127.671453348037,1100,6,339
"corn","Alcohol","2-Methyl-1-propanol","78-83-1",13.228756555323,13.228756555323,14,1,2
"corn","Alcohol","2-Phenylethanol","60-12-8",11.0679718105893,11.0679718105893,24.5,1,2
"corn","Alcohol","2-Propanol","67-63-0",300,300,300,1,159
"corn","Alcohol","2-Propenol","107-18-6",9.08295106229247,9.08295106229247,16.5,1,2
"corn","Alcohol","3-Methyl-1-butanol","123-51-3",28.2754310311974,28.2754310311974,39,1,2
"corn","Alcohol","Ethanol","64-17-5",7678.35697960635,11100,59100,27,846
"corn","Alcohol","Methanol","67-56-1",426.033347043419,466.186813742292,1345,6,258
"corn","Ketone","2-Butanone","78-93-3",47.5926,47.5926,47.5926,1,24
"corn","Ketone","3-Hydroxy-2-butanone","513-86-0",1637.94205971454,1100,6400,1,7
"corn","Ketone","Acetone","67-64-1",24.3936,24.3936,24.3936,1,24
"corn","Ester","Ethyl acetate","141-78-6",192.44219479556,238.339786282363,1776,4,86
"corn","Ester","Ethyl lactate","97-64-3",443.498824528706,396.059147065377,657.5,2,44
"corn","Ester","Methyl acetate","79-20-9",475.480350327182,137.303834550386,884,2,43
"corn","Ester","Propyl acetate","109-60-4",521.519535364959,197.18012070186,5050,4,134
"corn","Ester","Propyl lactate","616-09-1",289.199263543286,111.957581252901,585.2,2,17
"corn","Aldehyde","2-Methylpropanal","78-84-2",29,29,29,1,8
"corn","Aldehyde","3-Methylbutanal","590-86-3",110.036410522367,98.1120787670917,123.41,2,32
"corn","Aldehyde","Acetaldehyde","75-07-0",105.377777269512,17.2162713733259,387.1995,4,41
"corn","Aldehyde","Butyraldehyde","123-72-8",34.8876378407345,45.6190157719344,78,2,32
"corn","Aldehyde","Heptanal","111-71-7",24,24,24,1,8
"corn","Aldehyde","Hexanal","66-25-1",153,153,153,1,8
"corn","Aldehyde","Propionaldehyde","123-38-6",22.1939570420716,16.2624,70,3,37
"corn","Aldehyde","Valeraldehyde","110-62-3",106.27550175025,119.211786330044,150,2,32
"grass","Acid","Acetic acid","64-19-7",19112.3968893913,22903.2748750042,93400,7,8364
"grass","Acid","Butyric acid","107-92-6",6406.03771957346,5531.72667437574,6790,4,2862
"grass","Acid","Isobutyric acid","79-31-2",9485.80241419623,992.846262016431,10900,4,2831
"grass","Acid","Isovaleric acid","503-74-2",700,700,700,1,34
"grass","Acid","Propionic acid","79-09-4",2363.72257457782,2368.5438564654,3533,6,2974
"grass","Alcohol","1-Butanol","71-36-3",5,5,5,1,2
