"crop","group","conc.mean"
"corn","Acid",21931.6961169347
"corn","Alcohol",9732.76629974512
"corn","Ketone",1709.92825971454
"corn","Ester",1922.14016855969
"corn","Aldehyde",584.771284424934
"grass","Acid",38067.9595977388
"grass","Alcohol",5533.94586645743
"grass","Ketone",69.8229
"grass","Ester",37.87
"grass","Aldehyde",416.953630565665
"legume","Acid",28224.8005781823
"legume","Alcohol",3044.90812836128
"legume","Aldehyde",20.5857223465098
"small grain","Acid",27338.4035513153
"small grain","Alcohol",2900
