"group","compound","cas","conc.corn","conc.grass","conc.legume","conc.wmean","rep","floss.store","floss.mix","floss.feed","floss.total","emis.store","emis.mix","emis.feed","emis.total","floss.tot","spec.pt"
"Acid","Propionic acid","79-09-4",2702,2364,1778,2559,"Acetic acid",0.01019,0.001602,0.01602,0.0276,26.07,4.058,40.52,70.64,0.0276,1.5
"Acid","Acetic acid","64-19-7",18470,19110,21440,18860,"Acetic acid",0.01019,0.001602,0.01602,0.0276,192.2,29.91,298.6,520.7,0.0276,11.05
"Acid","Isobutyric acid","79-31-2",477.6,9486,720.1,1853,"Acetic acid",0.01019,0.001602,0.01602,0.0276,18.88,2.939,29.34,51.16,0.0276,1.086
"Acid","Butyric acid","107-92-6",274.4,6406,4291,1596,"Acetic acid",0.01019,0.001602,0.01602,0.0276,16.26,2.531,25.26,44.05,0.0276,0.9352
"Acid","Isovaleric acid","503-74-2",7.659,700,7.659,111.5,"Acetic acid",0.01019,0.001602,0.01602,0.0276,1.136,0.1768,1.765,3.078,0.0276,0.06535
"Alcohol","Ethanol","64-17-5",7678,4546,1163,6557,"Ethanol",0.08756,0.01393,0.1393,0.2256,574.1,83.32,821.6,1479,0.2256,31.4
"Alcohol","2-Butanol","78-92-2",126.4,218.7,282.8,155.9,"Ethanol",0.08756,0.01393,0.1393,0.2256,13.65,1.981,19.53,35.16,0.2256,0.7464
"Alcohol","1-Propanol","71-23-8",1122,256.6,403.2,920,"Ethanol",0.08756,0.01393,0.1393,0.2256,80.56,11.69,115.3,207.5,0.2256,4.406
"Alcohol","Methanol","67-56-1",426,307.2,993,464.9,"Ethanol",0.08756,0.01393,0.1393,0.2256,40.71,5.907,58.25,104.9,0.2256,2.226
"Alcohol","2-Propanol","67-63-0",300,200,141.4,269.1,"Ethanol",0.08756,0.01393,0.1393,0.2256,23.57,3.42,33.72,60.71,0.2256,1.289
"Alcohol","2-Phenylethanol","60-12-8",11.07,11.07,11.07,11.07,"Ethanol",0.08756,0.01393,0.1393,0.2256,0.9691,0.1406,1.387,2.496,0.2256,0.053
"Alcohol","3-Methyl-1-butanol","123-51-3",28.28,28.28,28.28,28.28,"Ethanol",0.08756,0.01393,0.1393,0.2256,2.476,0.3593,3.543,6.378,0.2256,0.1354
"Alcohol","2-Methyl-1-propanol","78-83-1",13.23,13.23,13.23,13.23,"Ethanol",0.08756,0.01393,0.1393,0.2256,1.158,0.1681,1.658,2.984,0.2256,0.06335
"Alcohol","1-Butanol","71-36-3",8.512,5,60.94,13.23,"Ethanol",0.08756,0.01393,0.1393,0.2256,1.158,0.1681,1.657,2.984,0.2256,0.06334
"Alcohol","1-Hexanol","111-27-3",10.2,10.2,10.2,10.2,"Ethanol",0.08756,0.01393,0.1393,0.2256,0.8929,0.1296,1.278,2.3,0.2256,0.04883
"Alcohol","2-Propenol","107-18-6",9.083,9.083,9.083,9.083,"Ethanol",0.08756,0.01393,0.1393,0.2256,0.7953,0.1154,1.138,2.049,0.2256,0.04349
"Aldehyde","Valeraldehyde","110-62-3",106.3,111.6,106.3,107.1,"Acetaldehyde",0.368,0.05819,0.5819,0.7511,39.4,3.938,37.09,80.43,0.7511,1.707
"Aldehyde","Hexanal","66-25-1",153,150,153,152.6,"Acetaldehyde",0.368,0.05819,0.5819,0.7511,56.13,5.61,52.84,114.6,0.7511,2.433
"Aldehyde","2-Methylpropanal","78-84-2",29,11.36,29,26.35,"Acetaldehyde",0.368,0.05819,0.5819,0.7511,9.697,0.9692,9.128,19.79,0.7511,0.4202
"Aldehyde","3-Methylbutanal","590-86-3",110,37.24,110,99.12,"Acetaldehyde",0.368,0.05819,0.5819,0.7511,36.47,3.645,34.33,74.45,0.7511,1.58
"Aldehyde","Acetaldehyde","75-07-0",105.4,16.53,20.59,83.57,"Acetaldehyde",0.368,0.05819,0.5819,0.7511,30.75,3.074,28.95,62.77,0.7511,1.333
"Aldehyde","Butyraldehyde","123-72-8",34.89,60.9,34.89,38.79,"Acetaldehyde",0.368,0.05819,0.5819,0.7511,14.27,1.427,13.44,29.14,0.7511,0.6185
"Aldehyde","Heptanal","111-71-7",24,23,24,23.85,"Acetaldehyde",0.368,0.05819,0.5819,0.7511,8.776,0.8771,8.261,17.91,0.7511,0.3803
"Aldehyde","Propionaldehyde","123-38-6",22.19,6.28,22.19,19.81,"Acetaldehyde",0.368,0.05819,0.5819,0.7511,7.288,0.7284,6.861,14.88,0.7511,0.3158
"Ester","Ethyl lactate","97-64-3",443.5,443.5,443.5,443.5,"Propyl acetate",0.6275,0.08821,0.8821,0.96,278.3,14.57,132.9,425.7,0.96,9.038
"Ester","Propyl acetate","109-60-4",521.5,4.03,521.5,443.9,"Propyl acetate",0.6275,0.08821,0.8821,0.96,278.5,14.59,133,426.1,0.96,9.046
"Ester","Ethyl butyrate","105-54-4",25.8,25.8,25.8,25.8,"Propyl acetate",0.6275,0.08821,0.8821,0.96,16.19,0.8477,7.73,24.77,0.96,0.5258
"Ester","Methyl acetate","79-20-9",475.5,1.09,475.5,404.3,"Propyl acetate",0.6275,0.08821,0.8821,0.96,253.7,13.29,121.1,388.1,0.96,8.24
"Ester","Propyl lactate","616-09-1",289.2,289.2,289.2,289.2,"Propyl acetate",0.6275,0.08821,0.8821,0.96,181.5,9.502,86.64,277.6,0.96,5.894
"Ester","Ethyl acetate","141-78-6",192.4,6.95,192.4,164.6,"Propyl acetate",0.6275,0.08821,0.8821,0.96,103.3,5.409,49.32,158,0.96,3.355
