"group","compound","cas","corn","grass","legume","wmean"
"Acid","Acetic acid","64-19-7",18470,19112,21436,18863
"Acid","Propionic acid","79-09-4",2702.3,2363.7,1777.9,2559
"Acid","Isobutyric acid","79-31-2",477.64,9485.8,720.12,1853.1
"Acid","Butyric acid","107-92-6",274.39,6406,4290.8,1595.8
"Acid","Isovaleric acid","503-74-2",7.6591,700,7.6591,111.51
"Alcohol","Ethanol","64-17-5",7678.4,4546.4,1163.5,6557.1
"Alcohol","1-Propanol","71-23-8",1121.6,256.58,403.24,920.03
"Alcohol","Methanol","67-56-1",426.03,307.21,992.99,464.91
"Alcohol","2-Propanol","67-63-0",300,200,141.42,269.14
"Alcohol","2-Butanol","78-92-2",126.38,218.72,282.84,155.88
"Alcohol","3-Methyl-1-butanol","123-51-3",28.275,28.275,28.275,28.275
"Alcohol","2-Methyl-1-propanol","78-83-1",13.229,13.229,13.229,13.229
"Alcohol","1-Butanol","71-36-3",8.5116,5,60.941,13.228
"Alcohol","2-Phenylethanol","60-12-8",11.068,11.068,11.068,11.068
"Alcohol","1-Hexanol","111-27-3",10.198,10.198,10.198,10.198
"Alcohol","2-Propenol","107-18-6",9.083,9.083,9.083,9.083
"Aldehyde","Hexanal","66-25-1",153,150,153,152.55
"Aldehyde","Valeraldehyde","110-62-3",106.28,111.64,106.28,107.08
"Aldehyde","3-Methylbutanal","590-86-3",110.04,37.243,110.04,99.117
"Aldehyde","Acetaldehyde","75-07-0",105.38,16.531,20.586,83.572
"Aldehyde","Butyraldehyde","123-72-8",34.888,60.901,34.888,38.79
"Aldehyde","2-Methylpropanal","78-84-2",29,11.356,29,26.353
"Aldehyde","Heptanal","111-71-7",24,23,24,23.85
"Aldehyde","Propionaldehyde","123-38-6",22.194,6.2796,22.194,19.807
"Ester","Propyl acetate","109-60-4",521.52,4.03,521.52,443.9
"Ester","Ethyl lactate","97-64-3",443.5,443.5,443.5,443.5
"Ester","Methyl acetate","79-20-9",475.48,1.09,475.48,404.32
"Ester","Propyl lactate","616-09-1",289.2,289.2,289.2,289.2
"Ester","Ethyl acetate","141-78-6",192.44,6.95,192.44,164.62
"Ester","Ethyl butyrate","105-54-4",25.8,25.8,25.8,25.8
"Ketone","3-Hydroxy-2-butanone","513-86-0",1637.9,1637.9,1637.9,1637.9
"Ketone","2-Butanone","78-93-3",47.593,45.429,47.593,47.268
"Ketone","Acetone","67-64-1",24.394,24.394,24.394,24.394
