"group","compound","cas","conc.corn","conc.grass","conc.legume","conc.wmean","rep","floss.store","floss.mix","floss.feed","floss.total","emis.store","emis.mix","emis.feed","emis.total","spec.pt"
"Acid","Propionic acid","79-09-4",2702,2364,1778,2559,"Acetic acid",0.007957,0.001257,0.01257,0.02166,20.36,3.191,31.87,55.43,1.037
"Acid","Acetic acid","64-19-7",18470,19110,21440,18860,"Acetic acid",0.007957,0.001257,0.01257,0.02166,150.1,23.52,234.9,408.5,7.643
"Acid","Isobutyric acid","79-31-2",477.6,9486,720.1,1853,"Acetic acid",0.007957,0.001257,0.01257,0.02166,14.74,2.311,23.08,40.14,0.7509
"Acid","Butyric acid","107-92-6",274.4,6406,4291,1596,"Acetic acid",0.007957,0.001257,0.01257,0.02166,12.7,1.99,19.87,34.56,0.6466
"Acid","Isovaleric acid","503-74-2",7.659,700,7.659,111.5,"Acetic acid",0.007957,0.001257,0.01257,0.02166,0.8873,0.1391,1.389,2.415,0.04518
"Alcohol","Ethanol","64-17-5",7678,4546,1163,6557,"Ethanol",0.09313,0.02115,0.2115,0.3001,610.7,125.8,1231,1968,36.81
"Alcohol","2-Butanol","78-92-2",126.4,218.7,282.8,155.9,"Ethanol",0.09313,0.02115,0.2115,0.3001,14.52,2.99,29.27,46.78,0.8752
"Alcohol","1-Propanol","71-23-8",1122,256.6,403.2,920,"Ethanol",0.09313,0.02115,0.2115,0.3001,85.69,17.65,172.8,276.1,5.165
"Alcohol","Methanol","67-56-1",426,307.2,993,464.9,"Ethanol",0.09313,0.02115,0.2115,0.3001,43.3,8.918,87.3,139.5,2.61
"Alcohol","2-Propanol","67-63-0",300,200,141.4,269.1,"Ethanol",0.09313,0.02115,0.2115,0.3001,25.07,5.163,50.54,80.77,1.511
"Alcohol","2-Phenylethanol","60-12-8",11.07,11.07,11.07,11.07,"Ethanol",0.09313,0.02115,0.2115,0.3001,1.031,0.2123,2.078,3.321,0.06214
"Alcohol","3-Methyl-1-butanol","123-51-3",28.28,28.28,28.28,28.28,"Ethanol",0.09313,0.02115,0.2115,0.3001,2.633,0.5424,5.309,8.485,0.1587
"Alcohol","2-Methyl-1-propanol","78-83-1",13.23,13.23,13.23,13.23,"Ethanol",0.09313,0.02115,0.2115,0.3001,1.232,0.2538,2.484,3.97,0.07427
"Alcohol","1-Butanol","71-36-3",8.512,5,60.94,13.23,"Ethanol",0.09313,0.02115,0.2115,0.3001,1.232,0.2537,2.484,3.97,0.07427
"Alcohol","1-Hexanol","111-27-3",10.2,10.2,10.2,10.2,"Ethanol",0.09313,0.02115,0.2115,0.3001,0.9498,0.1956,1.915,3.06,0.05726
"Alcohol","2-Propenol","107-18-6",9.083,9.083,9.083,9.083,"Ethanol",0.09313,0.02115,0.2115,0.3001,0.8459,0.1742,1.706,2.726,0.05099
"Aldehyde","Valeraldehyde","110-62-3",106.3,111.6,106.3,107.1,"Acetaldehyde",0.3721,0.0827,0.827,0.9004,39.85,5.56,51.01,96.41,1.804
"Aldehyde","Hexanal","66-25-1",153,150,153,152.6,"Acetaldehyde",0.3721,0.0827,0.827,0.9004,56.77,7.922,72.66,137.4,2.57
"Aldehyde","2-Methylpropanal","78-84-2",29,11.36,29,26.35,"Acetaldehyde",0.3721,0.0827,0.827,0.9004,9.807,1.368,12.55,23.73,0.4439
"Aldehyde","3-Methylbutanal","590-86-3",110,37.24,110,99.12,"Acetaldehyde",0.3721,0.0827,0.827,0.9004,36.88,5.147,47.21,89.24,1.67
"Aldehyde","Acetaldehyde","75-07-0",105.4,16.53,20.59,83.57,"Acetaldehyde",0.3721,0.0827,0.827,0.9004,31.1,4.34,39.81,75.25,1.408
"Aldehyde","Butyraldehyde","123-72-8",34.89,60.9,34.89,38.79,"Acetaldehyde",0.3721,0.0827,0.827,0.9004,14.43,2.014,18.48,34.93,0.6534
"Aldehyde","Heptanal","111-71-7",24,23,24,23.85,"Acetaldehyde",0.3721,0.0827,0.827,0.9004,8.875,1.238,11.36,21.47,0.4018
"Aldehyde","Propionaldehyde","123-38-6",22.19,6.28,22.19,19.81,"Acetaldehyde",0.3721,0.0827,0.827,0.9004,7.371,1.029,9.435,17.83,0.3337
"Ester","Ethyl lactate","97-64-3",443.5,443.5,443.5,443.5,"Propyl acetate",1,0.1,1,1,443.5,0,0,443.5,8.297
"Ester","Propyl acetate","109-60-4",521.5,4.03,521.5,443.9,"Propyl acetate",1,0.1,1,1,443.9,0,0,443.9,8.305
"Ester","Ethyl butyrate","105-54-4",25.8,25.8,25.8,25.8,"Propyl acetate",1,0.1,1,1,25.8,0,0,25.8,0.4827
"Ester","Methyl acetate","79-20-9",475.5,1.09,475.5,404.3,"Propyl acetate",1,0.1,1,1,404.3,0,0,404.3,7.564
"Ester","Propyl lactate","616-09-1",289.2,289.2,289.2,289.2,"Propyl acetate",1,0.1,1,1,289.2,0,0,289.2,5.411
"Ester","Ethyl acetate","141-78-6",192.4,6.95,192.4,164.6,"Propyl acetate",1,0.1,1,1,164.6,0,0,164.6,3.08
